"시도별","경제활동별",2024 p),2024 p),2024 p)
"시도별","경제활동별",명목,실질,실질기여도
"경기도","부동산업",44279037,43535821,0.08
"경기도","사업서비스업",39545856,33247466,-0.17
"경기도","전문, 과학 및 기술 서비스업",21795557,17602334,-0.16
"경기도","사업시설 관리, 사업 지원 및 임대 서비스업",17750299,15664286,-0.01
"경기도","공공 행정, 국방 및 사회보장 행정",30011489,26424349,0.10
"경기도","교육 서비스업",23295314,21486839,0.07
"경기도","보건업 및 사회복지 서비스업",31970332,29889220,0.30
"경기도","문화 및 기타서비스업",20004366,17402965,0.00
"경기도","수도, 하수 및 폐기물 처리, 원료 재생업",4241018,4069313,0.00
"경기도","예술, 스포츠 및 여가관련 서비스",7854870,6977442,-0.01
"경기도","협회 및 단체, 수리 및 기타 개인 서비스업",7908478,6353802,0.01
"강원특별자치도","지역내총생산(시장가격)",64615611,56169890,-0.39
"강원특별자치도","순생산물세",4710364,3600820,-0.23
"강원특별자치도","총부가가치(기초가격)",59905247,52615153,-0.15
"강원특별자치도","농업, 임업 및 어업",2625981,2322455,-0.09
"강원특별자치도","광제조업",6466807,5720800,-0.40
"강원특별자치도","광업",815463,633581,-0.16
"강원특별자치도","제조업",5651344,5083493,-0.24
"강원특별자치도","음식료품 및 담배제조업",1422335,1335933,-0.06
"강원특별자치도","섬유 의복 및 가죽 제품 제조업",41922,36642,-0.01
"강원특별자치도","목재종이인쇄 및 복제업",115932,92238,0.00
"강원특별자치도","석탄 및 석유 화학제품 제조업",966685,989089,0.04
"강원특별자치도","비금속광물 및 금속제품 제조업",1462027,1034427,-0.11
"강원특별자치도","전기 전자 및 정밀기기 제조업",831343,877738,-0.03
"강원특별자치도","기계 운송장비 및 기타 제품 제조업",811100,738270,-0.08
"강원특별자치도","전기, 가스, 증기 및 공기 조절 공급업",1778003,1136696,-0.34
"강원특별자치도","건설업",4690492,4003400,-0.16
"강원특별자치도","서비스업",44343964,39444301,0.83
"강원특별자치도","도매 및 소매업",3104516,2678784,-0.08
"강원특별자치도","운수 및 창고업",2441932,2389461,0.05
"강원특별자치도","숙박 및 음식점업",2857435,2197585,-0.14
"강원특별자치도","정보통신업",931501,955409,-0.04
"강원특별자치도","금융 및 보험업",2443858,2223172,0.06
"강원특별자치도","부동산업",3531415,3323227,0.19
"강원특별자치도","사업서비스업",3289124,2717052,0.14
"강원특별자치도","전문, 과학 및 기술 서비스업",1485948,1205201,-0.01
"강원특별자치도","사업시설 관리, 사업 지원 및 임대 서비스업",1803176,1522027,0.15
"강원특별자치도","공공 행정, 국방 및 사회보장 행정",14161005,12411101,0.28
"강원특별자치도","교육 서비스업",4430556,4060548,0.10
"강원특별자치도","보건업 및 사회복지 서비스업",4107838,3806343,0.25
"강원특별자치도","문화 및 기타서비스업",3044784,2669976,0.01
"강원특별자치도","수도, 하수 및 폐기물 처리, 원료 재생업",501389,476405,0.03
"강원특별자치도","예술, 스포츠 및 여가관련 서비스",1533822,1373879,-0.01
"강원특별자치도","협회 및 단체, 수리 및 기타 개인 서비스업",1009573,821986,-0.01
"충청북도","지역내총생산(시장가격)",91794456,81746448,-1.46
"충청북도","순생산물세",6080040,5285544,-0.02
"충청북도","총부가가치(기초가격)",85714416,76464724,-1.44
"충청북도","농업, 임업 및 어업",2229391,1977386,0.07
"충청북도","광제조업",38856674,34179164,-2.88
"충청북도","광업",229806,168692,-0.05
"충청북도","제조업",38626868,34013884,-2.83
"충청북도","음식료품 및 담배제조업",3909151,3575251,0.05
"충청북도","섬유 의복 및 가죽 제품 제조업",341034,297923,-0.01
"충청북도","목재종이인쇄 및 복제업",1022787,853210,0.01
"충청북도","석탄 및 석유 화학제품 제조업",8995883,8698242,0.12
"충청북도","비금속광물 및 금속제품 제조업",4691225,2967972,-0.13
"충청북도","전기 전자 및 정밀기기 제조업",13909590,12088989,-2.77
"충청북도","기계 운송장비 및 기타 제품 제조업",5757198,5293397,-0.09
"충청북도","전기, 가스, 증기 및 공기 조절 공급업",1117834,1067427,0.17
"충청북도","건설업",5423294,4654602,0.21
"충청북도","서비스업",38087223,34265582,0.98
"충청북도","도매 및 소매업",3383735,2919713,-0.01
"충청북도","운수 및 창고업",2779185,2950046,0.48
"충청북도","숙박 및 음식점업",1947577,1485531,-0.02
"충청북도","정보통신업",931309,966787,0.00
"충청북도","금융 및 보험업",2598051,2361506,0.05
"충청북도","부동산업",3856783,3607199,0.24
"충청북도","사업서비스업",4664846,3973030,-0.08
"충청북도","전문, 과학 및 기술 서비스업",2144978,1736941,-0.10
"충청북도","사업시설 관리, 사업 지원 및 임대 서비스업",2519868,2235158,0.02
"충청북도","공공 행정, 국방 및 사회보장 행정",7337773,6400702,0.18
"충청북도","교육 서비스업",4314824,3955905,0.04
"충청북도","보건업 및 사회복지 서비스업",3725695,3473151,0.17
"충청북도","문화 및 기타서비스업",2547445,2274963,-0.08
"충청북도","수도, 하수 및 폐기물 처리, 원료 재생업",865426,850059,-0.05
"충청북도","예술, 스포츠 및 여가관련 서비스",717856,639789,-0.02
"충청북도","협회 및 단체, 수리 및 기타 개인 서비스업",964163,781861,-0.01
"충청남도","지역내총생산(시장가격)",150681268,135065463,1.08
"충청남도","순생산물세",11919579,11217906,0.20
"충청남도","총부가가치(기초가격)",138761689,123849628,0.88
"충청남도","농업, 임업 및 어업",4200990,3834178,-0.14
"충청남도","광제조업",70959809,65474110,0.39
"충청남도","광업",156180,115423,-0.01
"충청남도","제조업",70803629,65357927,0.40
"충청남도","음식료품 및 담배제조업",3792308,3433646,0.13
"충청남도","섬유 의복 및 가죽 제품 제조업",469060,406680,0.01
"충청남도","목재종이인쇄 및 복제업",925995,769716,0.04
"충청남도","석탄 및 석유 화학제품 제조업",17820393,15570991,0.84
"충청남도","비금속광물 및 금속제품 제조업",10048245,6410724,-0.13
"충청남도","전기 전자 및 정밀기기 제조업",22826846,24700514,-0.44
"충청남도","기계 운송장비 및 기타 제품 제조업",14920782,14007290,-0.06
"충청남도","전기, 가스, 증기 및 공기 조절 공급업",7451628,4101224,0.03
"충청남도","건설업",8352681,7137387,-0.14
"충청남도","서비스업",47796581,43069965,0.74
"충청남도","도매 및 소매업",4866548,4199184,0.01
"충청남도","운수 및 창고업",3669073,3710000,0.22
"충청남도","숙박 및 음식점업",2385838,1792748,-0.07
"충청남도","정보통신업",1175613,1201441,0.00
"충청남도","금융 및 보험업",3256697,2959486,0.05
"충청남도","부동산업",5278474,5090108,0.29
"충청남도","사업서비스업",5167454,4365704,-0.14
"충청남도","전문, 과학 및 기술 서비스업",2436033,1948781,-0.11
"충청남도","사업시설 관리, 사업 지원 및 임대 서비스업",2731421,2421408,-0.03
"충청남도","공공 행정, 국방 및 사회보장 행정",8885614,7773759,0.21
"충청남도","교육 서비스업",5168393,4751002,0.01
"충청남도","보건업 및 사회복지 서비스업",4904944,4581196,0.15
"충청남도","문화 및 기타서비스업",3037933,2701064,0.01
"충청남도","수도, 하수 및 폐기물 처리, 원료 재생업",1057246,1034133,0.02
"충청남도","예술, 스포츠 및 여가관련 서비스",752056,671365,-0.01
"충청남도","협회 및 단체, 수리 및 기타 개인 서비스업",1228631,996428,0.00
"전북특별자치도","지역내총생산(시장가격)",66792381,59321350,1.59
"전북특별자치도","순생산물세",4894534,4147267,0.09
"전북특별자치도","총부가가치(기초가격)",61897847,55195835,1.50
